Angle (°),Distance (mm)
249.62,2231.75
251.28,2282.50
252.94,2335.25
254.53,2393.75
256.22,2455.25
257.83,2523.25
259.47,2596.25
261.12,2680.00
262.73,2768.25
264.28,0.00
269.16,4300.00
270.78,4445.25
274.09,4542.75
275.80,4469.25
277.45,4409.00
279.11,0.00
280.77,4269.00
285.22,1010.00
289.06,3947.25
292.19,831.50
293.72,832.50
295.44,790.00
297.12,786.75
298.86,787.25
300.38,788.75
302.02,836.75
303.88,3499.50
305.52,0.00
310.08,908.75
311.56,971.00
313.25,974.25
314.84,992.00
316.48,992.00
317.86,1176.25
335.77,1689.25
337.39,0.00
340.88,1479.25
342.48,1502.75
344.14,1484.25
345.80,1523.75
352.41,1427.25
354.11,1381.25
357.39,1376.00
358.95,1451.25
0.59,1497.50
2.23,1505.75
3.92,1493.25
5.59,1470.25
7.19,1448.25
8.88,1429.25
15.64,1364.25
17.23,1349.50
19.78,4623.75
21.42,4579.50
23.09,4550.00
24.73,4531.75
26.42,4516.50
27.92,0.00
29.56,7303.00
31.19,0.00
32.86,8505.25
35.05,1960.50
36.73,1852.75
38.44,1753.75
40.16,1667.75
41.81,1590.25
43.53,1525.50
45.28,1456.25
46.89,1402.00
48.66,0.00
50.30,1355.00
51.91,0.00
53.58,1327.75
55.22,1334.50
56.86,1419.00
61.97,1135.50
65.39,1042.00
70.17,1074.25
71.88,1090.00
73.47,1124.25
75.09,1156.00
76.67,1188.25
78.23,1223.00
79.94,1265.25
81.53,1309.75
83.25,1358.25
84.83,1410.75
87.75,2339.50
89.36,2365.25
91.03,2435.00
92.61,2549.50
94.25,2686.25
95.89,2833.75
97.83,0.00
99.66,0.00
101.30,1611.25
102.88,1627.25
104.55,1605.25
106.22,1605.25
107.84,1603.25
109.50,1603.25
111.12,1620.00
113.77,4855.50
115.41,4992.50
120.36,5202.00
123.66,0.00
125.31,4818.00
126.95,4855.00
128.59,4868.50
130.34,4982.00
131.97,5082.25
133.64,5084.25
135.30,4942.25
136.94,5070.25
138.61,4967.75
140.25,4978.50
145.19,5265.75
